Alias,Algorithm,Family,Role,CaseID,AnchorIndex,WTL
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,5,9,12/0/18
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,6,9,15/0/15
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,7,9,12/0/18
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,8,9,5/0/25
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,1,9,16/0/14
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,2,9,22/0/8
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,3,9,18/0/12
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,4,9,17/0/13
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,5,9,14/0/16
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,6,9,15/0/15
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,7,9,13/0/17
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,8,9,15/0/15
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,1,9,16/0/14
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,2,9,12/0/18
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,3,9,11/0/19
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,4,9,19/0/11
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,5,9,12/0/18
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,6,9,14/0/16
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,7,9,14/0/16
