Domain,Instance,Anchor,Competitor,NPairs,WinsAnchor,Ties,LossesAnchor,MeanAnchor,MeanCompetitor,MedianAnchor,MedianCompetitor,RawP,HolmDomainP,RejectHolmDomain
FIR_SENSITIVITY,8,A-C1,A-C3,30,22,0,8,0.00360188653907194,0.00444997437984172,0.00324255144809555,0.00380986908773076,0.00360943334938422,0.375381068335958,0
FIR_SENSITIVITY,1,A-C1,RA-C3,30,18,0,12,0.00573886257758604,0.0054330670337191,0.00498952913244555,0.00521477906111355,0.781263710149943,1,0
FIR_SENSITIVITY,2,A-C1,RA-C3,30,13,0,17,0.0214703206426058,0.0206828865380537,0.0212255856753455,0.0209373421295936,0.298943752019591,1,0
FIR_SENSITIVITY,3,A-C1,RA-C3,30,15,0,15,0.00515681436015733,0.0053031473369565,0.00507530405141678,0.00499321885429597,0.893644387126605,1,0
FIR_SENSITIVITY,4,A-C1,RA-C3,30,14,0,16,0.0214869065664112,0.0217981228568142,0.0219018038370187,0.0220403413121423,0.734325291439128,1,0
FIR_SENSITIVITY,5,A-C1,RA-C3,30,18,0,12,0.00176046133194598,0.00202810882076404,0.00147259608567057,0.00188228350579465,0.147039578643453,1,0
FIR_SENSITIVITY,6,A-C1,RA-C3,30,18,0,12,0.00666755992175006,0.00697939331577671,0.00693271280085514,0.00755104320314149,0.465282581879085,1,0
FIR_SENSITIVITY,7,A-C1,RA-C3,30,19,0,11,0.00163243470126284,0.00227134463653319,0.00142176382268058,0.00171998449056351,0.0786466602741035,1,0
FIR_SENSITIVITY,8,A-C1,RA-C3,30,19,0,11,0.00360188653907194,0.00481926107558465,0.00324255144809555,0.00400943535233948,0.0368261284160903,1,0
FIR_SENSITIVITY,1,A-C1,A-C4,30,14,0,16,0.00573886257758604,0.00523792268868055,0.00498952913244555,0.00503666278098646,0.318490602578217,1,0
FIR_SENSITIVITY,2,A-C1,A-C4,30,16,0,14,0.0214703206426058,0.0213593312160171,0.0212255856753455,0.0218577289676145,0.942610512457651,1,0
FIR_SENSITIVITY,3,A-C1,A-C4,30,21,0,9,0.00515681436015733,0.00583928910183131,0.00507530405141678,0.00531527705149322,0.0449189037654804,1,0
FIR_SENSITIVITY,4,A-C1,A-C4,30,11,0,19,0.0214869065664112,0.0210911793112768,0.0219018038370187,0.0218694523546039,0.213358073389451,1,0
FIR_SENSITIVITY,5,A-C1,A-C4,30,18,0,12,0.00176046133194598,0.00197774983276891,0.00147259608567057,0.00200336259895264,0.271155197708832,1,0
FIR_SENSITIVITY,6,A-C1,A-C4,30,21,0,9,0.00666755992175006,0.00695134712567258,0.00693271280085514,0.0075487389057422,0.338856155247185,1,0
FIR_SENSITIVITY,7,A-C1,A-C4,30,19,0,11,0.00163243470126284,0.00221087046727547,0.00142176382268058,0.00163088841948806,0.135907785496412,1,0
FIR_SENSITIVITY,8,A-C1,A-C4,30,19,0,11,0.00360188653907194,0.0044748308552603,0.00324255144809555,0.00398610520519371,0.0570964952431574,1,0
FIR_SENSITIVITY,1,A-C1,RA-C4,30,16,0,14,0.00573886257758604,0.00561949201843128,0.00498952913244555,0.00507543196532531,0.530440091249749,1,0
FIR_SENSITIVITY,2,A-C1,RA-C4,30,16,0,14,0.0214703206426058,0.0216301221978672,0.0212255856753455,0.0215455115897247,0.718887562136267,1,0
FIR_SENSITIVITY,3,A-C1,RA-C4,30,17,0,13,0.00515681436015733,0.00534259202947217,0.00507530405141678,0.00510707766638734,0.440521591149205,1,0
FIR_SENSITIVITY,4,A-C1,RA-C4,30,11,0,19,0.0214869065664112,0.020979993074651,0.0219018038370187,0.0209086076371284,0.338856155247185,1,0
FIR_SENSITIVITY,5,A-C1,RA-C4,30,16,0,14,0.00176046133194598,0.00195425339727065,0.00147259608567057,0.00173242471394059,0.544006207584189,1,0
FIR_SENSITIVITY,6,A-C1,RA-C4,30,21,0,9,0.00666755992175006,0.00733403852730979,0.00693271280085514,0.00827074634902429,0.0544625039718911,1,0
FIR_SENSITIVITY,7,A-C1,RA-C4,30,20,0,10,0.00163243470126284,0.00281032325902871,0.00142176382268058,0.00172980341467698,0.0822064659509928,1,0
FIR_SENSITIVITY,8,A-C1,RA-C4,30,23,0,7,0.00360188653907194,0.00538726488625402,0.00324255144809555,0.00402367876504247,0.00258455920655201,0.276547835101065,0
FIR_SENSITIVITY,1,A-C1,MPHB,30,28,0,2,0.00573886257758604,0.0135612979931966,0.00498952913244555,0.0114037795878138,5.21649344703338e-06,0.000631195707091039,1
FIR_SENSITIVITY,2,A-C1,MPHB,30,29,0,1,0.0214703206426058,0.0344842882398155,0.0212255856753455,0.0310087800672841,1.92092110490315e-06,0.000236273295903087,1
FIR_SENSITIVITY,3,A-C1,MPHB,30,30,0,0,0.00515681436015733,0.0133304505969886,0.00507530405141678,0.0122575237749581,1.73439762832058e-06,0.000222002896425035,1
FIR_SENSITIVITY,4,A-C1,MPHB,30,30,0,0,0.0214869065664112,0.0337911432445602,0.0219018038370187,0.0304786868303612,1.73439762832058e-06,0.000222002896425035,1
FIR_SENSITIVITY,5,A-C1,MPHB,30,30,0,0,0.00176046133194598,0.00687360938737434,0.00147259608567057,0.00606501142072486,1.73439762832058e-06,0.000222002896425035,1
FIR_SENSITIVITY,6,A-C1,MPHB,30,30,0,0,0.00666755992175006,0.0123535777985115,0.00693271280085514,0.0103508388256662,1.73439762832058e-06,0.000222002896425035,1
FIR_SENSITIVITY,7,A-C1,MPHB,30,30,0,0,0.00163243470126284,0.00858704121652394,0.00142176382268058,0.00637446100103351,1.73439762832058e-06,0.000222002896425035,1
FIR_SENSITIVITY,8,A-C1,MPHB,30,29,0,1,0.00360188653907194,0.0092242317677794,0.00324255144809555,0.00858781230474587,2.35342099512154e-06,0.000287117361404828,1
