Alias,Algorithm,Family,Role,Function,AnchorIndex,WTL
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,1,1,28/0/2
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,2,1,17/0/13
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,3,1,0/0/30
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,4,1,6/0/24
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,5,1,0/0/30
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,6,1,4/0/26
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,7,1,3/0/27
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,8,1,2/0/28
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,9,1,6/2/22
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,10,1,1/0/29
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,11,1,26/0/4
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,12,1,3/0/27
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,1,1,25/0/5
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,2,1,12/0/18
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,4,1,11/0/19
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,5,1,0/0/30
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,6,1,3/0/27
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,7,1,3/0/27
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,8,1,2/0/28
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,9,1,1/0/29
